"TIME","GEO","AGE","AGEDEF","C_BIRTH","UNIT","SEX","Value","Flag and Footnotes"
"2008","Estonia","From 10 to 14 years","Age reached during the year","Unknown","Number","Total","1",""
"2008","Estonia","From 15 to 64 years","Age reached during the year","Total","Number","Total","3 013",""
"2008","Estonia","From 15 to 64 years","Age reached during the year","Reporting country","Number","Total",":",""
"2008","Estonia","From 15 to 64 years","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2008","Estonia","From 15 to 64 years","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2008","Estonia","From 15 to 64 years","Age reached during the year","Unknown","Number","Total",":",""
"2008","Estonia","65 years or over","Age reached during the year","Total","Number","Total","188",""
"2008","Estonia","65 years or over","Age reached during the year","Reporting country","Number","Total",":",""
"2008","Estonia","65 years or over","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2008","Estonia","65 years or over","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2008","Estonia","65 years or over","Age reached during the year","Unknown","Number","Total",":",""
"2008","Ireland","Total","Age reached during the year","Total","Number","Total","82 592",""
"2008","Ireland","Total","Age reached during the year","Reporting country","Number","Total","20 681",""
"2008","Ireland","Total","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2008","Ireland","Total","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2008","Ireland","Total","Age reached during the year","Unknown","Number","Total","0",""
"2008","Ireland","From 10 to 14 years","Age reached during the year","Total","Number","Total",":",""
"2008","Ireland","From 10 to 14 years","Age reached during the year","Reporting country","Number","Total",":",""
"2008","Ireland","From 10 to 14 years","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2008","Ireland","From 10 to 14 years","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2008","Ireland","From 10 to 14 years","Age reached during the year","Unknown","Number","Total",":",""
"2008","Ireland","From 15 to 64 years","Age reached during the year","Total","Number","Total",":",""
"2008","Ireland","From 15 to 64 years","Age reached during the year","Reporting country","Number","Total",":",""
"2008","Ireland","From 15 to 64 years","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2008","Ireland","From 15 to 64 years","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2008","Ireland","From 15 to 64 years","Age reached during the year","Unknown","Number","Total",":",""
"2008","Ireland","65 years or over","Age reached during the year","Total","Number","Total",":",""
"2008","Ireland","65 years or over","Age reached during the year","Reporting country","Number","Total",":",""
"2008","Ireland","65 years or over","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2008","Ireland","65 years or over","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2008","Ireland","65 years or over","Age reached during the year","Unknown","Number","Total",":",""
"2008","Greece","Total","Age reached during the year","Total","Number","Total","66 529","b"
"2008","Greece","Total","Age reached during the year","Reporting country","Number","Total","17 350",""
"2008","Greece","Total","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2008","Greece","Total","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2008","Greece","Total","Age reached during the year","Unknown","Number","Total","0",""
"2008","Greece","From 10 to 14 years","Age reached during the year","Total","Number","Total",":",""
"2008","Greece","From 10 to 14 years","Age reached during the year","Reporting country","Number","Total",":",""
"2008","Greece","From 10 to 14 years","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2008","Greece","From 10 to 14 years","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2008","Greece","From 10 to 14 years","Age reached during the year","Unknown","Number","Total",":",""
"2008","Greece","From 15 to 64 years","Age reached during the year","Total","Number","Total",":",""
"2008","Greece","From 15 to 64 years","Age reached during the year","Reporting country","Number","Total",":",""
"2008","Greece","From 15 to 64 years","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2008","Greece","From 15 to 64 years","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2008","Greece","From 15 to 64 years","Age reached during the year","Unknown","Number","Total",":",""
"2008","Greece","65 years or over","Age reached during the year","Total","Number","Total",":",""
"2008","Greece","65 years or over","Age reached during the year","Reporting country","Number","Total",":",""
"2008","Greece","65 years or over","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2008","Greece","65 years or over","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2008","Greece","65 years or over","Age reached during the year","Unknown","Number","Total",":",""
"2008","Spain","Total","Age reached during the year","Total","Number","Total","599 075","b"
"2008","Spain","Total","Age reached during the year","Reporting country","Number","Total","21 094",""
"2008","Spain","Total","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2008","Spain","Total","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2008","Spain","Total","Age reached during the year","Unknown","Number","Total","0",""
"2008","Spain","From 10 to 14 years","Age reached during the year","Total","Number","Total","35 104","b"
"2008","Spain","From 10 to 14 years","Age reached during the year","Reporting country","Number","Total",":",""
"2008","Spain","From 10 to 14 years","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2008","Spain","From 10 to 14 years","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2008","Spain","From 10 to 14 years","Age reached during the year","Unknown","Number","Total",":",""
"2008","Spain","From 15 to 64 years","Age reached during the year","Total","Number","Total","489 324","b"
"2008","Spain","From 15 to 64 years","Age reached during the year","Reporting country","Number","Total",":",""
"2008","Spain","From 15 to 64 years","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2008","Spain","From 15 to 64 years","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2008","Spain","From 15 to 64 years","Age reached during the year","Unknown","Number","Total",":",""
"2008","Spain","65 years or over","Age reached during the year","Total","Number","Total","18 143","b"
"2008","Spain","65 years or over","Age reached during the year","Reporting country","Number","Total",":",""
"2008","Spain","65 years or over","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2008","Spain","65 years or over","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2008","Spain","65 years or over","Age reached during the year","Unknown","Number","Total",":",""
"2008","France","Total","Age reached during the year","Total","Number","Total","296 608",""
"2008","France","Total","Age reached during the year","Reporting country","Number","Total","78 041",""
"2008","France","Total","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2008","France","Total","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2008","France","Total","Age reached during the year","Unknown","Number","Total","0",""
"2008","France","From 10 to 14 years","Age reached during the year","Total","Number","Total","13 670",""
"2008","France","From 10 to 14 years","Age reached during the year","Reporting country","Number","Total","3 342",""
"2008","France","From 10 to 14 years","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2008","France","From 10 to 14 years","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2008","France","From 10 to 14 years","Age reached during the year","Unknown","Number","Total","0",""
"2008","France","From 15 to 64 years","Age reached during the year","Total","Number","Total","236 123",""
"2008","France","From 15 to 64 years","Age reached during the year","Reporting country","Number","Total",":",""
"2008","France","From 15 to 64 years","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2008","France","From 15 to 64 years","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2008","France","From 15 to 64 years","Age reached during the year","Unknown","Number","Total",":",""
"2008","France","65 years or over","Age reached during the year","Total","Number","Total","7 242",""
"2008","France","65 years or over","Age reached during the year","Reporting country","Number","Total",":",""
"2008","France","65 years or over","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2008","France","65 years or over","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2008","France","65 years or over","Age reached during the year","Unknown","Number","Total",":",""
"2008","Croatia","Total","Age reached during the year","Total","Number","Total","16 883","b"
"2008","Croatia","Total","Age reached during the year","Reporting country","Number","Total","2 081","b"
"2008","Croatia","Total","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2008","Croatia","Total","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2008","Croatia","Total","Age reached during the year","Unknown","Number","Total","2","b"
"2008","Croatia","From 10 to 14 years","Age reached during the year","Total","Number","Total",":",""
"2008","Croatia","From 10 to 14 years","Age reached during the year","Reporting country","Number","Total",":",""
"2008","Croatia","From 10 to 14 years","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2008","Croatia","From 10 to 14 years","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2008","Croatia","From 10 to 14 years","Age reached during the year","Unknown","Number","Total",":",""
"2008","Croatia","From 15 to 64 years","Age reached during the year","Total","Number","Total",":",""
"2008","Croatia","From 15 to 64 years","Age reached during the year","Reporting country","Number","Total",":",""
"2008","Croatia","From 15 to 64 years","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2008","Croatia","From 15 to 64 years","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2008","Croatia","From 15 to 64 years","Age reached during the year","Unknown","Number","Total",":",""
"2008","Croatia","65 years or over","Age reached during the year","Total","Number","Total",":",""
"2008","Croatia","65 years or over","Age reached during the year","Reporting country","Number","Total",":",""
"2008","Croatia","65 years or over","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2008","Croatia","65 years or over","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2008","Croatia","65 years or over","Age reached during the year","Unknown","Number","Total",":",""
"2008","Italy","Total","Age reached during the year","Total","Number","Total","534 712",""
"2008","Italy","Total","Age reached during the year","Reporting country","Number","Total","27 102",""
"2008","Italy","Total","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2008","Italy","Total","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2008","Italy","Total","Age reached during the year","Unknown","Number","Total","0",""
"2008","Italy","From 10 to 14 years","Age reached during the year","Total","Number","Total","26 098",""
"2008","Italy","From 10 to 14 years","Age reached during the year","Reporting country","Number","Total","531",""
"2008","Italy","From 10 to 14 years","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
