"TIME","GEO","PROJECTION","UNIT","SEX","AGE","Value","Flag and Footnotes"
"2055","Denmark","Baseline projections","Person","Total","Total","6 111 785",""
"2055","Euro area - 19 countries  (from 2015)","Baseline projections","Person","Total","Total","341 690 938",""
"2055","Estonia","Baseline projections","Person","Total","Total","1 241 009",""
"2055","Greece","Baseline projections","Person","Total","Total","9 275 824",""
"2055","Spain","Baseline projections","Person","Total","Total","48 962 188",""
"2055","European Union - 27 countries (from 2020)","Baseline projections","Person","Total","Total","437 085 910",""
"2055","Finland","Baseline projections","Person","Total","Total","5 218 470",""
"2055","France","Baseline projections","Person","Total","Total","69 874 367",""
"2055","Croatia","Baseline projections","Person","Total","Total","3 289 125",""
"2055","Hungary","Baseline projections","Person","Total","Total","9 197 156",""
"2055","Ireland","Baseline projections","Person","Total","Total","6 319 998",""
"2055","Iceland","Baseline projections","Person","Total","Total","504 728",""
"2055","Italy","Baseline projections","Person","Total","Total","57 131 834",""
"2055","Liechtenstein","Baseline projections","Person","Total","Total","43 862",""
"2055","Lithuania","Baseline projections","Person","Total","Total","2 044 673",""
"2055","Luxembourg","Baseline projections","Person","Total","Total","777 714",""
"2055","Latvia","Baseline projections","Person","Total","Total","1 332 302",""
"2055","Malta","Baseline projections","Person","Total","Total","682 156",""
"2055","Netherlands","Baseline projections","Person","Total","Total","18 076 179",""
"2055","Norway","Baseline projections","Person","Total","Total","6 453 877",""
"2055","Poland","Baseline projections","Person","Total","Total","33 306 428",""
"2055","Portugal","Baseline projections","Person","Total","Total","9 144 153",""
"2055","Romania","Baseline projections","Person","Total","Total","15 015 940",""
"2055","Sweden","Baseline projections","Person","Total","Total","12 498 850",""
"2055","Slovenia","Baseline projections","Person","Total","Total","2 017 464",""
"2055","Slovakia","Baseline projections","Person","Total","Total","5 055 599",""
"2060","Austria","Baseline projections","Person","Total","Total","9 293 065",""
"2060","Belgium","Baseline projections","Person","Total","Total","11 865 788",""
"2060","Bulgaria","Baseline projections","Person","Total","Total","5 332 585",""
"2060","Switzerland","Baseline projections","Person","Total","Total","10 319 020",""
"2060","Cyprus","Baseline projections","Person","Total","Total","1 074 126",""
"2060","Czechia","Baseline projections","Person","Total","Total","10 414 088",""
"2060","Germany (until 1990 former territory of the FRG)","Baseline projections","Person","Total","Total","81 842 817",""
"2060","Denmark","Baseline projections","Person","Total","Total","6 122 611",""
"2060","Euro area - 19 countries  (from 2015)","Baseline projections","Person","Total","Total","338 523 647",""
"2060","Estonia","Baseline projections","Person","Total","Total","1 224 839",""
"2060","Greece","Baseline projections","Person","Total","Total","9 038 456",""
"2060","Spain","Baseline projections","Person","Total","Total","48 385 094",""
"2060","European Union - 27 countries (from 2020)","Baseline projections","Person","Total","Total","432 474 413",""
"2060","Finland","Baseline projections","Person","Total","Total","5 150 584",""
"2060","France","Baseline projections","Person","Total","Total","69 680 713",""
"2060","Croatia","Baseline projections","Person","Total","Total","3 195 202",""
"2060","Hungary","Baseline projections","Person","Total","Total","9 117 095",""
"2060","Ireland","Baseline projections","Person","Total","Total","6 398 732",""
"2060","Iceland","Baseline projections","Person","Total","Total","519 819",""
"2060","Italy","Baseline projections","Person","Total","Total","55 989 561",""
"2060","Liechtenstein","Baseline projections","Person","Total","Total","44 184",""
"2060","Lithuania","Baseline projections","Person","Total","Total","1 959 630",""
"2060","Luxembourg","Baseline projections","Person","Total","Total","782 884",""
"2060","Latvia","Baseline projections","Person","Total","Total","1 275 102",""
"2060","Malta","Baseline projections","Person","Total","Total","693 613",""
"2060","Netherlands","Baseline projections","Person","Total","Total","18 014 595",""
"2060","Norway","Baseline projections","Person","Total","Total","6 544 661",""
"2060","Poland","Baseline projections","Person","Total","Total","32 519 968",""
"2060","Portugal","Baseline projections","Person","Total","Total","8 910 843",""
"2060","Romania","Baseline projections","Person","Total","Total","14 540 962",""
"2060","Sweden","Baseline projections","Person","Total","Total","12 708 255",""
"2060","Slovenia","Baseline projections","Person","Total","Total","1 989 404",""
"2060","Slovakia","Baseline projections","Person","Total","Total","4 953 801",""
"2065","Austria","Baseline projections","Person","Total","Total","9 262 385",""
"2065","Belgium","Baseline projections","Person","Total","Total","11 841 493",""
"2065","Bulgaria","Baseline projections","Person","Total","Total","5 182 122",""
"2065","Switzerland","Baseline projections","Person","Total","Total","10 497 572",""
"2065","Cyprus","Baseline projections","Person","Total","Total","1 087 160",""
"2065","Czechia","Baseline projections","Person","Total","Total","10 316 335",""
"2065","Germany (until 1990 former territory of the FRG)","Baseline projections","Person","Total","Total","81 643 599",""
"2065","Denmark","Baseline projections","Person","Total","Total","6 135 199",""
"2065","Euro area - 19 countries  (from 2015)","Baseline projections","Person","Total","Total","335 589 050",""
"2065","Estonia","Baseline projections","Person","Total","Total","1 208 861",""
"2065","Greece","Baseline projections","Person","Total","Total","8 808 147",""
"2065","Spain","Baseline projections","Person","Total","Total","47 728 675",""
